keyword,frequency
the,82
to,30
in,29
of,26
a,23
s,20
trade,19
chinese,17
and,16
war,15
china,14
it,11
this,11
that,11
us,10
i,10
is,9
for,9
are,9
people,8
have,8
on,8
up,7
year,7
tariffs,7
has,7
new,7
link,7
my,6
said,6
t,6
more,6
stock,6
economy,6
by,5
been,5
going,5
with,5
goods,5
also,5
be,5
than,5
wrote,5
first,4
so,4
they,4
user,4
from,4
agreement,4
life,3
what,3
all,3
imports,3
while,3
out,3
its,3
last,3
there,3
how,3
could,3
if,3
worrying,3
about,3
tumble,3
day,3
time,3
as,3
because,3
weibo,3
who,3
at,3
market,3
asked,3
foreign,3
now,3
oil,3
nuts,3
she,3
he,3
then,3
50,3
mexico,3
canada,3
utterly,2
messed,2
not,2
public,2
would,2
like,2
increasing,2
put,2
billion,2
keep,2
national,2
fate,2
spirit,2
media,2
run,2
which,2
one,2
good,2
an,2
daily,2
deeply,2
home,2
comment,2
see,2
next,2
growth,2
online,2
far,2
come,2
stocks,2
yuan,2
after,2
fell,2
index,2
paywall,2
three,2
months,2
markets,2
haven,2
me,2
projects,2
many,2
reuters,2
their,2
can,2
prices,2
expensive,2
based,2
province,2
including,2
owner,2
why,2
august,2
economic,2
most,2
recent,2
manufacturing,2
american,2
nafta,2
americans,2
non-market-oriented,2
countries,2
deal,2
another,2
round,2
really,1
think,1
guardian,1
echo,1
huangoctober,1
9,1
2018,1
ardent,1
determination,1
win,1
might,1
support,1
since,1
entered,1
earnest,1
both,1
sides,1
tit-for-tat,1
$250,1
done,1
same,1
$110,1
worth,1
running,1
retaliation,1
strongest,1
weapon,1
according,1
state,1
heroism,1
being,1
show,1
concern,1
enjoy,1
oneself,1
always,1
through,1
blood,1
includes,1
sacrificing,1
interest,1
greater,1
opinion,1
piece,1
posted,1
state-run,1
july,1
10,1
facing,1
aware,1
no,1
without,1
country,1
willing,1
bear,1
temporary,1
losses,1
doesn,1
acknowledge,1
painful,1
become,1
common,1
economists,1
estimate,1
latest,1
added,1
go,1
25%,1
shave,1
half,1
percentage,1
point,1
off,1
sharing,1
re,1
experiencing,1
impacts,1
devalues,1
monday,1
oct,1
7,1
golden,1
week,1
holiday,1
sharply,1
benchmark,1
shanghai,1
composite,1
3,1
7%,1
biggest,1
single-day,1
loss,1
came,1
central,1
bank,1
announced,1
cut,1
reserve,1
requirement,1
ratio,1
commercial,1
banks,1
fourth,1
move,1
seen,1
trying,1
boost,1
liquidity,1
amid,1
general,1
taking,1
stride,1
tough,1
received,1
payments,1
several,1
bursts,1
social,1
platform,1
identified,1
himself,1
working,1
securities,1
firm,1
beijing,1
killed,1
when,1
returned,1
village,1
officials,1
work,1
answer,1
sadly,1
was,1
deleveraging,1
bad,1
performance,1
mariana,1
bazo,1
looking,1
devalued,1
worried,1
help,1
exporters,1
making,1
competitive,1
makes,1
tougher,1
need,1
currency,1
example,1
families,1
hundreds,1
thousands,1
studying,1
abroad,1
we,1
kneeling,1
hard,1
rmb,1
renminbi,1
stable,1
near,1
term,1
looks,1
great,1
depression,1
arrive,1
snacks,1
treats,1
suddenly,1
due,1
necessities,1
ran,1
yesterday,1
wanted,1
top,1
female,1
northern,1
hebei,1
but,1
found,1
used,1
eating,1
every,1
pecans,1
commonly,1
sourced,1
cost,1
her,1
shop,1
continued,1
him,1
relationship,1
had,1
imported,1
lots,1
overseas,1
feel,1
impact,1
maine,1
lobster,1
forget,1
drivers,1
feeling,1
pinch,1
putting,1
ve,1
felt,1
environment,1
peer-to-peer,1
lending,1
illegal,1
money-raising,1
crackdown,1
bled,1
bunch,1
drop,1
real,1
estate,1
won,1
long,1
before,1
afford,1
car,1
small,1
businesses,1
may,1
harder,1
hit,1
larger,1
ones,1
caixin,1
purchasing,1
managers,1
better,1
gauge,1
sentiment,1
smaller,1
private,1
firms,1
official,1
pmi,1
declined,1
6,1
month,1
lowest,1
level,1
number,1
below,1
indicates,1
contraction,1
response,1
soybean,1
pessimism,1
aren,1
optimistic,1
pressure,1
will,1
ease,1
fact,1
north,1
free,1
renegotiated,1
brand-new,1
acronym,1
shows,1
formation,1
front,1
against,1
some,1
commenters,1
noted,1
difficult,1
six,1
male,1
micro-blogging,1
site,1
southwestern,1
sichuan,1
his,1
argument,1
elements,1
key,1
driving,1
years,1
infrastructure,1
domestic,1
demands,1
shown,1
signs,1
terms,1
launching,1
wars,1
worldwide,1
want,1
bypass,1
wto,1
world,1
organization,1
build,1
something,1
end,1
september,1
signed,1
cooperation,1
wants,1
enter,1
needs,1
approval,1
everyone,1
knows,1
asks,1
notify,1
each,1
other,1
talks,1
non-market,1
give,1
say,1
building,1
anti-china,1
circle,1
gave,1
am,1
afraid,1
third,1
japan,1
europe,1
highly,1
suggest,1
should,1
make,1
major,1
adjustments,1
current,1
policies,1
instead,1
listening,1
opinions,1
so-called,1
elites,1
